[ 2013-11-05T10:08:01+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-05T10:08:01+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.182516s ]
[ 2013-11-05T10:08:01+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.208600s ]
[ 2013-11-05T10:08:04+08:00 ] / | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.619756s ]
[ 2013-11-05T10:08:05+08:00 ] / | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.263722s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.137230s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.137587s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-05T10:08:05+08:00 ] / | NOTIC: [8] Undefined index:  uname 04b74bac16018df793b2b10a9602b31e.php 第 16 行.
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.420523s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.420770s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.029673s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.068967s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.023306s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.048438s ]
[ 2013-11-05T10:08:05+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.171168s ]
[ 2013-11-05T10:08:05+08:00 ] / | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.088594s ]
[ 2013-11-05T10:08:07+08:00 ] / | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:1.528955s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.022072s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-2.213704s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.110763s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-1.815190s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000303s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000223s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000068s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000396s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-1.755032s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.017086s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-2.348970s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.028661s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-1.945511s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000253s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000230s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000068s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000388s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-1.803276s ]
[ 2013-11-05T10:08:07+08:00 ] / | SQL: SELECT `id`,`newtitle`,`fstcreate` FROM `news` ORDER BY id LIMIT 10   [ RunTime:0.015272s ]
[ 2013-11-05T10:08:07+08:00 ] / | SQL: SELECT `id`,`newtitle`,`fstcreate`,`count` FROM `news` ORDER BY count,id LIMIT 10   [ RunTime:0.023169s ]
[ 2013-11-05T10:08:07+08:00 ] / | SQL: SELECT news.id,count(comment.type) as counts,news.newtitle FROM `news` left join comment on comment.type=news.id WHERE comment.isdel=1 GROUP BY comment.type ORDER BY counts desc  [ RunTime:0.128535s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.003934s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-2.567368s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.055035s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-2.150755s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000289s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000227s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000069s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000406s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-2.034863s ]
[ 2013-11-05T10:08:07+08:00 ] / | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.039451s ]
[ 2013-11-05T10:08:07+08:00 ] / | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.004578s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002852s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-2.674874s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015744s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-2.257129s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000256s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000339s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000076s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000505s ]
[ 2013-11-05T10:08:07+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-2.102028s ]
