[ 2013-12-13T15:16:04+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-12-13T15:16:04+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.036909s ]
[ 2013-12-13T15:16:04+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.059523s ]
[ 2013-12-13T15:16:05+08:00 ] / | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.047229s ]
[ 2013-12-13T15:16:05+08:00 ] / | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.001632s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.042990s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.043127s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.064256s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.064410s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.003307s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.002605s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003159s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.003068s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012564s ]
[ 2013-12-13T15:16:05+08:00 ] / | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.041770s ]
[ 2013-12-13T15:16:05+08:00 ] / | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.039331s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001643s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.159486s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.027563s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.096820s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000102s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000070s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000121s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.111908s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001723s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.189593s ]
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-12-13T15:16:05+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.005788s ]
