[ 2013-11-11T10:04:41+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-11T10:04:41+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.087319s ]
[ 2013-11-11T10:04:41+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.103874s ]
[ 2013-11-11T10:04:43+08:00 ] / | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.207322s ]
[ 2013-11-11T10:04:43+08:00 ] / | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.055431s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.109525s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.109804s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.215150s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.215474s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.032163s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.073489s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.018390s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.025567s ]
[ 2013-11-11T10:04:43+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.150430s ]
[ 2013-11-11T10:04:43+08:00 ] / | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.111469s ]
[ 2013-11-11T10:04:45+08:00 ] / | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:2.115924s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.025562s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-2.595500s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.084959s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-2.405655s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000163s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000113s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000062s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000209s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-2.340162s ]
[ 2013-11-11T10:04:45+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.018711s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-2.707661s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.026938s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-2.510926s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000252s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000533s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000067s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000430s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-2.388959s ]
[ 2013-11-11T10:04:46+08:00 ] / | SQL: SELECT `id`,`newtitle`,`fstcreate` FROM `news` ORDER BY id LIMIT 10   [ RunTime:0.000709s ]
[ 2013-11-11T10:04:46+08:00 ] / | SQL: SELECT `id`,`newtitle`,`fstcreate`,`count` FROM `news` ORDER BY count,id LIMIT 10   [ RunTime:0.016785s ]
[ 2013-11-11T10:04:46+08:00 ] / | SQL: SELECT news.id,count(comment.type) as counts,news.newtitle FROM `news` left join comment on comment.type=news.id WHERE comment.isdel=1 GROUP BY comment.type ORDER BY counts desc  [ RunTime:0.121285s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002620s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-2.898796s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.058846s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-2.686171s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000296s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000228s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000074s ]
[ 2013-11-11T10:04:46+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000405s ]
