[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.028205s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.050625s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.004015s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.001255s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.063413s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.063553s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.053180s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.053350s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.002832s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.004357s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001593s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.002240s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011345s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.004482s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.199971s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002744s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.270172s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.021306s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.219712s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000157s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000117s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000039s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000216s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.229841s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001521s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.298167s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.003389s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.246384s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001018s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000118s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000035s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000198s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.238522s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SELECT `id`,`newtitle`,`fstcreate` FROM `news` ORDER BY id LIMIT 10   [ RunTime:0.000607s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SELECT `id`,`newtitle`,`fstcreate`,`count` FROM `news` ORDER BY count,id LIMIT 10   [ RunTime:0.008593s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SELECT news.id,count(comment.type) as counts,news.newtitle FROM `news` left join comment on comment.type=news.id WHERE comment.isdel=1 GROUP BY comment.type ORDER BY counts desc  [ RunTime:0.001974s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.003662s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.317596s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.043480s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.268031s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000103s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000074s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000129s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.300358s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.004319s ]
[ 2013-11-27T14:12:08+08:00 ] / | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.006931s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001591s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.377626s ]
[ 2013-11-27T14:12:08+08:00 ] / | INFO: Tag[ view_parse ] --START--
